,merchant_id,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019
0,2746,588,1654,3251,858,71,0,0,0,0,0
1,1783,3,0,0,0,0,0,0,0,0,0
2,1804,1,0,0,0,0,0,0,0,0,0
3,1785,2,0,0,0,0,0,0,0,0,0
4,2774,138,719,698,166,0,0,0,0,0,0
5,2155,251,1276,3245,1178,38,0,0,0,0,0
6,2493,108,143,223,384,37,0,0,0,0,0
7,2934,640,1669,2922,886,0,0,0,0,0,0
8,2969,58,109,777,186,0,0,0,0,0,0
9,3770,1,37,0,0,0,0,0,0,0,0
10,4052,205,2884,5181,1987,0,0,0,0,0,0
11,3029,1,0,0,0,0,0,0,0,0,0
12,2932,1,0,0,0,0,0,0,0,0,0
13,4059,22,331,1650,212,37,0,0,0,0,0
14,2503,1,2,0,0,0,0,0,0,0,0
15,5785,0,48,0,0,0,0,0,0,0,0
16,3680,0,2255,3071,1022,244,0,0,0,0,0
17,6750,0,1581,0,0,0,0,0,0,0,0
18,5979,0,146,1586,353,0,0,0,0,0,0
19,8215,0,337,1852,445,2,0,0,0,1,0
20,9359,0,0,1,0,0,0,0,0,0,0
21,11044,0,0,4210,1076,2,0,0,0,0,0
22,9076,0,0,1801,19,0,0,0,0,0,0
23,8704,0,0,1,0,0,0,0,0,0,0
24,3519,0,0,2,0,0,0,0,0,0,0
25,17013,0,0,3,0,0,0,0,0,0,0
26,16178,0,0,1,0,0,0,0,0,0,0
27,17863,0,0,1,0,0,0,0,0,0,0
28,2403,0,0,2,0,0,0,0,0,0,0
29,21048,0,0,3,0,0,0,0,0,0,0
30,21003,0,0,3,0,0,0,0,0,0,0
31,14212,0,0,1,0,0,0,0,0,0,0
32,21022,0,0,4,0,0,0,0,0,0,0
33,6837,0,0,1,0,0,0,0,0,0,0
34,8951,0,0,1,0,0,0,0,0,0,0
35,15724,0,0,1,0,0,0,0,0,0,0
36,21922,0,0,1,0,0,0,0,0,0,0
37,20795,0,0,1,0,0,0,0,0,0,0
38,21264,0,0,1,0,0,0,0,0,0,0
39,24414,0,0,8,12,0,0,0,0,0,0
40,3016,0,0,2,1,0,0,0,0,0,0
41,22326,0,0,3,0,0,0,0,0,0,0
42,24619,0,0,0,2,0,0,0,0,0,0
43,19567,0,0,0,1,0,0,0,0,0,0
44,8553,0,0,0,1,0,0,0,0,0,0
45,26470,0,0,0,1,0,0,0,0,0,0
46,23832,0,0,0,1,0,0,0,0,0,0
47,27580,0,0,0,1,0,0,0,0,0,0
48,1780,0,0,0,1,0,0,0,0,0,0
49,27789,0,0,0,33,0,0,0,0,0,0
50,24085,0,0,0,1,0,0,0,0,0,0
51,15792,0,0,0,1,0,0,0,0,0,0
52,18849,0,0,0,1,0,0,0,0,0,0
53,16255,0,0,0,2,0,0,0,0,0,0
54,1551446752332,0,0,0,0,1,0,0,0,0,0
55,1551448325823,0,0,0,0,94,38,34,5,18,5
56,1552560750422,0,0,0,0,1,0,0,0,0,0
57,1552550856390,0,0,0,0,313,174,0,0,0,0
58,1552628776345,0,0,0,0,13,5,1,0,0,0
59,1552633908730,0,0,0,0,64,142,91,87,91,183
60,1552632902722,0,0,0,0,10,7,0,0,0,0
61,1552910165458,0,0,0,0,1,0,2,0,0,0
62,1552630870706,0,0,0,0,7,1,0,0,131,125
63,1552907052790,0,0,0,0,1,0,0,0,0,0
64,1553161454849,0,0,0,0,1,0,0,0,0,0
65,1552632606560,0,0,0,0,4,0,0,0,0,0
66,1557221494058,0,0,0,0,0,0,3,1,0,0
67,1558164907848,0,0,0,0,0,0,1,0,0,0
68,1557303069991,0,0,0,0,0,0,1,2,0,0
69,1557295418244,0,0,0,0,0,0,1,3,0,0
70,1560866173276,0,0,0,0,0,0,0,21,669,523
71,1552552308277,0,0,0,0,0,0,0,0,2,370
72,1562675180932,0,0,0,0,0,0,0,0,278,20
73,1552631261373,0,0,0,0,0,0,0,0,4,46
74,1563448518972,0,0,0,0,0,0,0,0,17,8
75,1554343409650,0,0,0,0,0,0,0,0,3,0
76,1563962795047,0,0,0,0,0,0,0,0,5,0
77,1563804848416,0,0,0,0,0,0,0,0,133,818
78,1564549875845,0,0,0,0,0,0,0,0,2,7
79,1564816537809,0,0,0,0,0,0,0,0,0,5
80,1565072223479,0,0,0,0,0,0,0,0,0,1608
81,1565077938670,0,0,0,0,0,0,0,0,0,3
82,1565254364792,0,0,0,0,0,0,0,0,0,375
83,1565527969829,0,0,0,0,0,0,0,0,0,10
84,1566025417390,0,0,0,0,0,0,0,0,0,1646
85,1566290402930,0,0,0,0,0,0,0,0,0,1
86,1566369891272,0,0,0,0,0,0,0,0,0,414
87,1566565172498,0,0,0,0,0,0,0,0,0,16
88,1567012927104,0,0,0,0,0,0,0,0,0,1
